This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
This is because nuclear reactor plants have many advantages such as being able to produce both hydrogen fuel and a large amount of electricity from small amount of fuel , at the same time .|||25~25~ArtOrDet~a
Ever since the 9/11 incident , protection of nuclear plants has been a heightened national priority.Yet , some anti-terror experts commented that the current criteria does not require the plant to be protected by a threat equally posed by the 9/11 hijackers .|||20~20~Vt~have
A report released by the Government Accountability Office even mentioned that it is critical of the Nuclear Regulatory Commission ( NRC ) , finding that it has not increased standards enough to ensure plants are genuinely secure , but only as much as industry officials believed was necessary .|||45~46~Vt~believe	46~47~Vt~is
One solution would be the " Design Basis Threat " ( DBT ) which specifies the severity of the attacks that has to be prepared for .|||2~4~Vt~is
NRC requires each nuclear plant to periodically conduct security exercises to test its ability to fight against the DBT .|||0~0~ArtOrDet~The
The high cost of the funding for the development of nuclear plants , is also met with much public discontentment .|||13~14~Vt~has
In the USA , since its beginning , nuclear power has cost this country over $ 492 , 000 , 000 , 000 , which is nearly twice the cost of the Vietnam War and the Apollo Moon Missions combined .|||12~13~ArtOrDet~the
No other industry has enjoyed such privilege .|||6~6~ArtOrDet~a
Hence they rejected the idea of funding nuclear plants .|||2~3~Vt~reject
" ) This means that the nuclear energy can be charged at an affordable price that is competitive with coal and gas .|||5~6~ArtOrDet~	18~19~Prep~to
After the Chernobyl and Three Mile Island nuclear accident , which took away many innocent lives due to the explosion as well as exposure to excessive radiation , people are now very concerned on the safety of the nuclear plant .|||8~9~Nn~accidents	19~20~Nn~explosions	33~34~Prep~about	37~38~ArtOrDet~	39~40~Nn~plants
According to the World Association of Nuclear Operators ( WANO ) ,the performance indicators showed that the U.S. nuclear plants managed to sustain a high levels of achievement in safety performance , industrial safety , unplanned automatic reactor shutdowns and programs to protect workers from radioactive exposure .|||14~15~Vt~show	20~20~Vt~have	23~24~ArtOrDet~
In conclusion , I support the notion of the research and development of nuclear power plants .|||8~9~ArtOrDet~
Some argue that it is too costly to build and that they should adopt other renewable energies rather than nuclear power ( Totty , 2008 ) , while others argue that developing countries do not have enough skilled labours to cope with the demanding needs of building and operating nuclear reactors ( Squassoni , 2009 ) .|||38~39~Nn~labour
Although there is much opposition to the idea of building nuclear reactors in developing countries , there is some evidence that building nuclear reactors , such as the Generation IV reactors , yields positive outcomes to the countries .|||35~36~Prep~for	36~37~ArtOrDet~these
Alternatively , the Nobel Peace Prize laureate , Mohamed ElBaradei , proposed that these countries could construct hundreds of small-scale plants for a single town ; each one built using a fraction of the cost used for a large-scale plant and without using expensive power grid ( Bullis , 2005 ) .|||45~46~Nn~grids
As a result , opponents maintained that building nuclear reactors would not address the problem of unemployment ( Squassoni , 2009 ) .|||5~6~Vt~maintain
In summary , developing countries should develop the nuclear reactors for several reasons .|||7~8~ArtOrDet~
In addition , new design of reactor will only be approved if it presents a relatively lower construction costs .|||3~3~ArtOrDet~a	18~19~Nn~cost
Moreover , if developing countries have insufficient funds , they can approach AEHI for financial and labour support but an alternative way would be building smaller-scale plants without the need to use costly power grid and thus , incurring lower costs .|||34~35~Nn~grids
Therefore , in my opinion , developing countries should first provide huge funding to build generation IV reactors in order to combat unemployment and poverty in the rural areas .|||26~27~ArtOrDet~
According to Butler , 2009 ; butler states in his article that researchers have been pondering on the decision to use the nuclear funding for the development of generation ( IV ) reactors , which are projected to be better than the current generation ( II ) and ( III ) reactors , or retain the nuclear funding for existing generation ( II ) and ( III ) reactors .|||21~22~ArtOrDet~
Although there are reasons that seem to support the funding of the SCWR , the development of the SCWR should not be funded as there are other factors like economic and social feasibility to consider before we can conclude that the funding for the development of SCWR should be approved .|||46~46~ArtOrDet~the
One of the many reasons given to support the claim for SCWR funding is that SCWR is the combination of two proven technologies which are Light water moderated reactors ( LWRs ) and supercritical-water fossil plants ( Buoniorno , 2002 ) .|||15~15~ArtOrDet~the	17~18~ArtOrDet~a
Hence , Supporters of SCWR claim that SCWR would have a reduced capital cost as a result of plant simplification and high thermal efficiency .|||4~4~ArtOrDet~the	7~7~ArtOrDet~the
Although I concur with their view , they had overlooked the problem of SCWR being capable of reaching the commercialization process of an innovation ( Rogers , 2003 ) .|||8~9~Vt~have	13~13~ArtOrDet~the
The likelihood of SCWR reaching the commercialization process is low because , even though SCWR is the combination of two proven technologies , research is still required to merge the two technologies together .|||3~3~ArtOrDet~the	14~14~ArtOrDet~the
Furthermore , the simplification of SCWR involves the usage of materials that are either expensive , rare , or do not exist ( Absolute astronomy , 2009 ) .|||5~5~ArtOrDet~the
This reinforces the possibility that the SCWR can not enter the commercialization stage of innovation , proving that there should not be funding for the development of SCWR .|||27~27~ArtOrDet~the
Another reason proponents give is SCWR uses water which is cheap and easily obtainable as a coolant ( Butler , 2009 ) .|||5~5~ArtOrDet~the
In addition , supporters of SCWR also state that SCWR take up less space than current Generation ( II ) and ( III ) Reactors ( MacDonald , 2003 ) .|||5~5~ArtOrDet~the	9~9~ArtOrDet~the
I have to acquiesce to the two points raised by the followers of SCWR .|||13~13~ArtOrDet~the
However , these two arguments brought up by the opposition did not consider that both water and space are vital to mankind .|||10~11~Vt~do
This implies that funding should not be channeled for the development of SCWR .|||12~12~ArtOrDet~the
Instead , funds could be directed to the development of Very High Temperature Reactor ( VHTR ) which utilizes helium which is not important for human survival as helium is not found in human body ( the encyclopedia of earth , 2008 ) .|||10~10~ArtOrDet~the	33~33~ArtOrDet~the
Second , although the land required to build the SCWR is less than the existing reactors , the area needed to build new SCWR would be better utilized as area for agriculture especially in the future .|||22~22~ArtOrDet~a
Therefore , there should not be funding for the development of SCWR as SCWR utilizes two key ingredients for human survival .|||11~11~ArtOrDet~the	13~13~ArtOrDet~the
The last reason that advocates for funding of the development of SCWR provide is the building of SCWR that could generate excellent jobs for the society ( Nuclear Energy Institute , 2009 ) .|||5~6~Prep~	7~8~Prep~for	11~11~ArtOrDet~the	17~17~ArtOrDet~the
According to Nuclear Energy Institute , it is stated that operation of a nuclear plant generates 400 to 700 permanent jobs and these jobs offer a salary that is 36 percent higher than average jobs .|||2~2~ArtOrDet~the	6~10~ArtOrDet~the
This indicates that a job loss of around 1500 is incurred .|||9~10~Vt~will be
After considering both sides of the arguments , it is evident that there should not be funding for the development of SCWR as there are more shortcomings than the yields .|||21~21~ArtOrDet~the	28~29~ArtOrDet~
First is that the funding for the development of SCWR can be channeled to more pressing issues like eliminating poverty and food shortage .|||9~9~ArtOrDet~the
Next , the possibility of SCWR surviving the commercialization stage is low .|||5~5~ArtOrDet~the
Lastly , the benefits that the researchers had predicted are not totally beneficial to human .|||14~15~Nn~humans
Therefore , indicating that there should not be funding for SCWR .|||10~10~ArtOrDet~the
Thirdly , for most people 's impression , nuclear energy is way too expensive for the unworthy efficiency .|||2~3~Prep~
All-time high efficiency will greatly reduce cost and time which satisfy the demands of the people .|||10~11~Vform~satisfying
It is a proven success in generating energy and it is worthy to invest into such a technology for the sake of the future energy demand .|||12~14~Vform~investing	14~15~Prep~in
Subsequently , various groups of experts from the nuclear and chemical industry investigated into this case , and some of them came into a conclusion that the most essential way to prevent such catastrophe from happening again lied in the enhancement of psychological education to people ; whereas the others opposed that the main problem was actually the design failures of the plant , and the prevention could hardly be simply regarded as a psychological issue .|||11~12~Nn~industries	14~15~ArtOrDet~the	22~23~Prep~to	23~24~ArtOrDet~the	33~33~ArtOrDet~a	42~42~ArtOrDet~the	44~45~Prep~of	48~49~ArtOrDet~
Those experts , who were against of the psychological point of view , further claimed that even though the human factors were all amended through psychological approaches , possible accident still stands a chance of happening .|||21~23~Vt~had all been	29~30~Nn~accidents	31~32~Vt~stood
They concluded that the actual primary causes of the 1986 accident were nothing but the engineering factors , and permanent avoidance of such accidents could only be achieved through more advanced technology development .|||14~15~ArtOrDet~
According to the author of 'Psychology and design process ' ( Wilpert , 2007 ) , he regards the human minds ' deficiencies as the basic reason of an accident .|||22~23~Nn~deficiency
He thought that disastrous consequences could be avoided or at least minimized with the help of psychological education , and if psychological aids were provided through out the whole engineering progress , during item processing , structure designing , team managing , and even decision making , the Chernobyl disaster could be essentially avoided .|||1~2~Vt~thinks	5~6~Vt~can	23~24~Vt~are
In my point of view , I am supportive to the idea that human factors ' impacts overwhelm any other factors in this accident .|||9~10~Prep~of	17~18~Vt~overwhelmed	22~23~ArtOrDet~the Chernobyl
The report ( the International Nuclear Safety Advisory Group , 1992 ) by the International Nuclear Safety Advisory Group ( INSAG ) states that three components of reactor protection , which referred to Emergency Core Cooling System ( ECCS ) , trip on steam drum water level , and the 'two turbine ' trip had been disabled .|||24~24~ArtOrDet~the	33~33~ArtOrDet~the	41~41~ArtOrDet~the	53~54~Nn~trips ,
Those disabling were not prohibited in the document under normal procedure , but it was a test on that day , and thus special approval should have been asked .|||0~1~ArtOrDet~The
In addition , the required test power level had not been achieved , and the reactor was operated only at half power then .|||17~18~Vform~operating
Moreover , whenever a deficiency in engineering process occurs , thus in a case when the engineering process is unable to perform according to the plan , the whole should be ceased immediately for a thorough re-evaluation .|||6~6~ArtOrDet~the	12~13~ArtOrDet~the	18~19~Vt~was	30~31~Vt~have been
However , in 1986 Chernobyl , the operators did not stop but to modify the condition at the spot ( the International Nuclear Safety Advisory Group , 1992 ) .|||16~17~Prep~on
In sum , psychological aids are urgently demanded to educate high-risk-system operational teams in a large scale , for calling up their attention to safety operation .|||13~14~Prep~on	18~20~Vform~to call
The disaster could be totally avoided if at least one of the operators had a sense of safety operation .|||3~4~Vt~have been	14~14~Vt~had
Some people argue that those design errors revealed immature techniques , and thus there is no way to avoid such mistakes by means of psychological education .|||7~8~Vt~reveal	18~19~Vt~have avoided
Therefore , they believe that even though 'work scientist ' could probably remove human factors psychologically , the hardware technical problems would still trigger similar accidents by themselves .|||12~13~Vt~have removed	23~24~Vt~have triggered
I have to grant the truth that sometimes , faults of technical factors devalue and constraint psychological education effectiveness , however , the engineering deficiencies in this case are actually design errors ; in other words , they are probably manual errors due to carelessness or misses of considerations .|||28~29~Vt~were	38~39~Vt~were
In that political environment , the safety issues tended to be ignored ; to make it worse , rigorous demands such as large amount of order , short period of production and low budget of costs were given priority .|||25~26~Nn~orders	29~30~Prep~for	32~32~ArtOrDet~a
Such political circumstances changed the nature of design process , and consequently , loosen the safety regulations .|||7~7~ArtOrDet~the
In this case , psychological aid is highly in demand to awake decision maker to concern about safety first instead of pursuing political advantages .|||15~16~Vform~be concerned
Based on my reasoning of Chernobyl Accident , it is evident that the disaster was totally the result of a series of human factors instead of purely hardware fault .|||5~7~ArtOrDet~the Chernobyl accident
In recognizing the three main problems as the operators ' unawareness , designers ' misses of considerations and politicians ' arbitrariness , the aid of psychology should be highly appreciated as an efficient way to minimize the human errors , and thus to prevent such accident from happening again .|||36~37~ArtOrDet~	45~45~ArtOrDet~an
With the increasing demand of energy and the rapid depletion of currently available energy resources , nations are now trying to look for new , alternative ways of energy generation .|||4~5~Prep~for
Presently , thirteen countries have come together to set goals on nuclear energy generation research on six reactor designs ; namely gas-cooled fast reactor , lead-cooled fast reactor , sodium-cooled reactor , molten salt reactor , supercritical-water-cooled reactor and very-high-temperature reactor .|||21~21~ArtOrDet~the	25~25~ArtOrDet~the	29~29~ArtOrDet~the	32~32~ArtOrDet~the	36~36~ArtOrDet~the	39~39~ArtOrDet~the
The conceptual design of the VHTR will be the first to be defined and optimized by the year 2015 ( OECD Nuclear Energy Agency , 2009 ) , while LFR is , judging from the existing schemes , more feasible because of its low costs and good security features .|||29~29~ArtOrDet~the
In comparison with the VHTR , I feel LFR has more advantages and a better reactor design and thus deserves greater research .|||8~8~ArtOrDet~the
Both LFR and VHTR have their advantages and disadvantages over the other in terms of performance .|||1~1~ArtOrDet~the	3~3~ArtOrDet~the
The VHTR will be operating at temperatures 900 to 1000 degree Celsius .|||10~11~Nn~degrees
Even though LFR is estimated to have a comparatively lower efficiency in energy generation than VHTR ( Chapin , et al. , 2004 ) , it is more suitable in certain countries due to its flexibility in its scale of operation .|||2~2~ArtOrDet~the	15~15~ArtOrDet~the
( Idaho National Laboratory , 2007 ) Also , researches have shown that LFR will also be able to generate hydrogen ( Bouchard , et al , 2008 ) .|||13~13~ArtOrDet~the
Hence , it is evident that though LFR is predicted to be poorer in terms of efficiency as compared to VHTR , LFR seems more useful and suitable for many countries due to its other features .|||7~7~ArtOrDet~the	20~20~ArtOrDet~the	22~22~ArtOrDet~the
Also , the reactor will be using helium as coolant which is costly as helium is a rare gas in the atmosphere .|||9~10~ArtOrDet~a coolant ,
On the other hand , it is roughly estimated that the smaller plant of LFR can be designed , constructed and operated for 15 years for less than $ 700 million .|||14~14~ArtOrDet~the
In addition , the development of small LFR will incur smaller research and demonstration costs , since the technology base can be applied to later LFR concepts on building larger reactors .|||6~6~ArtOrDet~the
( Idaho National Laboratory , 2007 ) On the whole , it seems that lead-cooled fast reactors are much cheaper to build than VHTR .|||23~24~Nn~VHTRs
At such high temperatures , there is higher possibility of a dangerous melt-down of the reactor .|||7~7~ArtOrDet~a
Also , as its fuel cycle is closed , there is no need for offsite emergency response - the system will shut down without spreading radioactive materials .|||14~14~ArtOrDet~an
Therefore , LFR seems a safer reactor as compared to VHTR .|||2~2~ArtOrDet~the	10~10~ArtOrDet~the
Hence , there are still uncertainties in the features of the reactors ; it is not certain that LFR will still have these advantages over VHTR after the completion of designs of the plants .|||18~18~ArtOrDet~the	25~25~ArtOrDet~the	30~30~ArtOrDet~the
However , from the theoretical point of view , after looking at the advantages LFR has over VHTR in theory , I believe that LFR will be a better reactor than VHTR with its predicted flexibility in its scale of operation , low cost and better security .|||14~14~ArtOrDet~the	17~17~ArtOrDet~the	24~24~ArtOrDet~the	31~31~ArtOrDet~the
Hence , more funds should be allocated towards the research of LFR .|||11~11~ArtOrDet~the
Within the past half century , two major accidents at the Chernobyl and the Three Mile Island nuclear power plants had caused the public to have a negative view on the operation of nuclear reactors and also , the future of nuclear energy generation .|||20~21~Vt~have	29~30~Prep~of
Presently , the most common energy source , which is the coal-fired power generation , has been causing detrimental effects on the environment by releasing tremendous amounts of greenhouse gases ; and subsequently , causing rise to global warming .|||10~11~ArtOrDet~	35~35~ArtOrDet~a	36~37~Prep~in
In 2001 , the Generation IV International Forum has introduced six different generation IV nuclear reactor concepts which have been designed in such a way that when accidents occur , the damage will be contained ( Butler , 2004 ) .|||8~9~Vt~	18~19~Vt~had
For example , the accident which occurred at the Three Mile Island did not involve any deaths or injuries as the radioactive particles were successfully contained within the reactor itself ( Yousefzadeh , 2007 ) .|||7~8~Prep~on
This simply shows that with advanced technology , even though an accident-free nuclear plant may never be achieved , at least the technology incorporated into the reactor system would be able to ensure that radiation is contained in times of accident .|||40~41~Nn~accidents
Hence , with more funding directed towards the research and development of LFR , it may one day become one of the safest forms of energy generation .|||12~12~ArtOrDet~the
Critics also claim that nuclear power plants and nuclear waste can be potential terrorist targets as a great extent of damage can be done when the plants are being attacked or exploited .|||28~29~Vt~
Another factor to be considered is the sustainability of LFR .|||9~9~ArtOrDet~the
In conclusion , LFR has much to offer to mankind especially in terms of safety , security , sustainability as well as environmental effects .|||3~3~ArtOrDet~the
LFR is a nuclear energy reactor that is environmentally friendly with zero greenhouse gas emission .|||0~0~ArtOrDet~The
The US administration though , recognizes the potential of nuclear energy and has committed US $ 40 million to support Research & Development ( R&D ) for Next Generation Nuclear Plants ( NGNPs ) ( DOE , 2009 ) .|||5~6~Vt~has recognized
The slow but fatal effects of radiation have made radiation leak from nuclear reactors a major safety concern among the public .|||10~11~Nn~leaks
Another safety feature of VHTR is the use of uranium fuel pellets multi-coated with graphite .|||4~4~ArtOrDet~the
These reinforced pellets are extremely heat resistant and do not crack easily , so even in a case of a meltdown , the uranium pellets will be able to retain the radiation and fission products within its core with minimal release to the surroundings ( CHM333 , 2007 ) .|||16~17~ArtOrDet~the
Moreover , the high operating temperature of VHTR also results in higher fuel burn-up ratio of the fissionable materials in the uranium pellets ( DOE , 2008 ) .|||7~7~ArtOrDet~the
However , additional funding for VHTR will only be available if both the US government and public can be convinced about the viability of NGNPs replacing coal and gas power plants as the main supplier of US electricity .|||5~5~ArtOrDet~the	16~16~ArtOrDet~the
To achieve this , the VHTR has to stay on track through sustained R&D work in the coming years so that it can meet its expected delivery deadline on 2020 ( Butler , 2004 ) .|||28~29~Prep~in
The world encounters an unprecedented challenge which requires urgent global action to prevent the risks of climate change ( Stern , 2008 ) .|||2~3~Vt~is encountering
Many countries rely on fossil fuels as their source of energy and fossil fuel is known to be the major contributor to the green house gases .|||21~22~Prep~of	22~23~ArtOrDet~
In the United States alone , greenhouse gas emissions are mainly contributed by the burning of fossil fuels for energy use .|||12~13~Prep~from
Energy- related carbon dioxide emissions from the combustion of petroleum , coal , and natural gas had contributed to eighty-two percent of total U.S. anthropogenic greenhouse gas emissions in 2006 ( Energy Information Administration , 2008 ) .|||16~17~Vt~
By using the very high temperature reactor ( VHTR ) , hydrogen can be used as the fuel of the future replacing the fossil fuels .|||21~22~Vform~to replace	22~23~ArtOrDet~
In addition , more electricity is being produced with the help of the VHTR .|||5~7~Vt~will be
VHTR plants are able to produce hydrogen for fuel using high-temperature steam electrolysis , which breaks apart the bonds of water molecules ; this process is 50 percent more energy-efficient as compared to the existing hydrogen production methods ( Svoboda , 2009 ) .|||33~34~ArtOrDet~
With VHTR , developing countries will be able to meet their energy demand and will thus lift millions of people out of poverty .|||1~1~ArtOrDet~the
Therefore , similar to those rich countries , developing countries should also provide funding to the development of VHTR .|||14~15~Prep~for	18~18~ArtOrDet~the
However , given memories of the partial reactor meltdown in 1979 at Three Mile Island , Pennsylvania and of 1986 accident at Chernobyl in Ukraine , during which the reactor core exploded , killing some 31 people instantly and spreading radioactive debris across Europe ( Butler , 2004 ) , the public is concerned about the safety of the VHTR .|||19~19~ArtOrDet~the
Nuclear reactors would then become less of terrorist target .|||7~7~ArtOrDet~a
VHTR also has safety features to prevent core overheating and the release of radioactive material , in hope that these new approaches will eventually erase the memory of Three Mile Island and Chernobyl ( Svoboda , 2009 ) .|||0~0~ArtOrDet~The
Building of VHTR means that countries will no longer need to depend on fossil fuels for source of energy and the emission of greenhouse gases will also be greatly reduced .|||2~2~ArtOrDet~the	15~16~Prep~as	16~16~ArtOrDet~a
It is evident that the countries should go ahead with the research and development of VHTR .|||4~5~ArtOrDet~	15~15~ArtOrDet~the
Developing countries should also invest in the development of VHTR as satisfying their energy demand is essential for their economic growth .|||9~9~ArtOrDet~the
Nevertheless , the public , referring to the entire world population , has always been concerned about the safety and security issues of these nuclear reactors .|||23~24~ArtOrDet~
Thus , researchers came out with generation four reactors concepts hoping to ease the public 's worries .|||3~4~Vt~have come
I personally support the molten salt reactor concept for further research and development based on the following factors , safe operation of the plant , global security and the cost efficiency .|||28~29~ArtOrDet~
Radioactive emission can be from nuclear explosion or nuclear waste .|||1~2~Nn~emissions	6~7~Nn~explosions	9~10~Nn~wastes
Explosion of the nuclear reactor during operation is due to either high temperature or high pressure .|||0~1~ArtOrDet~An explosion	2~3~ArtOrDet~a
Nevertheless , Forsberg ( 2006 ) stated that the MSR has a strong negative temperature coefficient .|||6~7~Vt~states
Thus when there is an increase in temperatures , the fuel-salt density will reduce and push fuel out of the reactor core into critically safe , passively cooled tanks .|||7~8~Nn~temperature
This will prevent overheating which leads to explosion .|||7~8~Nn~explosions
He also added that MSRs operate at steady-state condition , with minimum excess nuclear reactivity .|||7~7~ArtOrDet~a
Besides safety issues , security of the nuclear reactors is another point brought up by opposition .|||4~4~ArtOrDet~the
The existence of nuclear reactors provides the terrorists an ideal bombing location .|||3~5~ArtOrDet~a nuclear reactor	6~7~ArtOrDet~
Plus , in molten salt reactor , plutonium , a key ingredient of advanced nuclear weapons , is actually created during the process before it is being reprocessed .|||5~6~Nn~reactors	26~27~Vt~
Opposition feared that the plutonium might be stolen by terrorists to make nuclear weapons .|||1~2~Vt~fear
However , Idaho National Laboratory ( 2005 ) claimed that the plutonium content remained in the salt and has high critical mass that makes it less desirable to be used in weapons .|||8~9~Vt~claims	13~14~Vt~remains
According to Butler ( 2004 ) , supporters are also positive that plutonium obtained could be spiked with other chemicals or elements to make it too hot to steal .|||12~12~ArtOrDet~the	14~15~Vt~can
This further supports the need for research and development on molten salt reactor .|||12~13~Nn~reactors
As for the risk of malign intent , World Nuclear Association ( 2008 ) stated that the basis of the design of the reactors assumed these threats .|||8~8~ArtOrDet~the	14~15~Vt~states	24~25~Vt~assumes
World nuclear association ( 2009 ) stated that the cost of nuclear power generation has declined since 1990s .|||0~3~ArtOrDet~The World Nuclear Association	6~7~Vt~states	17~17~ArtOrDet~the
In addition , Thornley ( 2009 ) claimed that , as compared to other energy sources , that the nuclear energy has the highest average capacity factor .|||7~8~Vt~claims	18~19~ArtOrDet~
Taking MSR as an example , previous design for MSR used steam cycle for electrical production .|||1~1~ArtOrDet~the	7~8~Nn~designs	9~9~ArtOrDet~the	12~13~Nn~cycles
Current proposal uses the Brayton cycle which has advantages such as lower cost and improved efficiency .|||0~1~ArtOrDet~The current
However , the MSR uses fluoride salt , which is more corrosive and high temperature .|||14~15~Nn~temperatures
Thus , there are doubts on whether MSR is a good choice .|||5~6~ArtOrDet~about	7~7~ArtOrDet~the
Nevertheless , currently there is the carbon-based material which according to Forsberg ( 2006 ) is compatible with molten salt at high temperature .|||22~23~Nn~temperatures
In conclusion , I have to agree that the molten salt reactor is not perfect , however the benefits of the molten salt reactors outweighed the cons and supporters are optimistic in finding solutions to the problems , showing its potential .|||23~24~Nn~reactor	24~25~Vt~outweigh	31~32~Prep~about
With hindsight , it seemed that this whole accident could have been prevented if more precautionary measures had been taken into consideration .|||0~1~Prep~At	4~5~Vt~seems
The numerous controversies on the actual cause of this accident were the unsuitable design of the wheel , the inability and misconception of the conductor , the inadequate train repairs and the company guidelines to investigate before addressing an issue .|||3~4~Prep~over	35~36~Vform~investigating
After reviewing this accident , some experts may feel that incorporating a psychologist into the developmental process could aid in preventing it .|||7~9~Vt~have felt	18~19~Vt~have aided
A point to argue would be regarding the wheel design .|||4~6~Vt~is
The train company , InterCity Expss ( ICE ) , had received complaints regarding the original train wheels causing serious resonance and tremor whilst travelling at high velocity .|||22~23~Nn~tremors
Even after the conductor had verified the problem , he still outright refused to stop the train and insisted to adhere to company regulations .|||20~21~Vform~adhering
It is shocking to realize that this unique policy that ICE complies to differs from the traditional 'stop and examine ' one .|||12~13~Prep~with
This accident could perhaps be averted if the conductor had used his personal judgment and halted the train when an unexpected problem was discovered .|||4~5~Vt~have been
It must have been pressure from the organizational management that made the conductor follow ICE orders and refuse to do what is right i.e .|||21~22~Vt~was
On part , it can be said that the cause of the accident is ICE for forming this rule and the conductor 's erroneous judgment .|||0~1~Prep~In	13~14~Vt~was
After conducting a root cause analysis on the accident , a psychologist could perhaps aid the company by vetting the flawed regulations to grant train conductors the power to make an assessment to stop the train should he receive any complaints from passengers .|||14~15~Vt~have aided
This proved that checks were only on the external structure of the train and not on the internal hardware and sustainability of the wheels to support the train 's weight .|||1~2~Vt~proves	6~6~Vt~conducted
Instead , it should be various factors working together to create a chain reaction which led to the dire consequences .|||3~5~Vt~was
From this train accident , factors begin from the preliminary wheel design that design engineers came up with , to the insufficient maintenance of trains and the operation mode ICE uses .|||0~1~Prep~In	5~6~ArtOrDet~the problems	6~7~Vt~began	30~31~Vt~used
The aid from a psychologist is inadequate in avoiding the accident as the majority of the causes for this accident deals with technical related aspects that psychologists do not have experience in .|||20~21~Vt~dealt
Public opposition regarding the issue of nuclear technology has been evident ever since the Chernobyl and Three Mile accident .|||18~19~Nn~accidents
People were mostly concerned about public health and safety caused by radioactive exposures .|||1~2~Vt~are
In addition , nuclear wastes repositories require geological isolation over in areas like Yucca Mountain .|||4~5~Nn~waste
The coolant comprises of a molten salt .|||3~4~Prep~
The concepts of MSR involve nuclear fuel dissolved in the molten fluoride salt as uranium tetra fluoride .|||1~2~Nn~concept	3~3~ArtOrDet~the
Thus , MSR have the ability to work at high temperatures , low-pressure operation and at high power density .|||2~2~ArtOrDet~the
There are better methods of using this sum of money collected from taxes from its people to solve waste disposal problem .|||18~18~ArtOrDet~the
Accelerated development of MSRs will result in the US to successfully tackle nuclear waste problem and revolutionize an entire new level of carbon-free energy that can last longer than just centuries .|||11~12~Vform~managing	12~12~ArtOrDet~the
Furthermore , MSRs are up to 300 times more fuel-efficient compared to the LWRs .|||12~13~ArtOrDet~
MSRs is also much more efficient than a helium-cooled Very High Temperature Reactor ( VHTR ) operating at similar conditions , in terms of electricity conversion .|||7~8~ArtOrDet~	14~15~Nn~VHTRs
Nevertheless , introduction of MSRs still deserve strong support as they prove to be the best solution for improving energy efficiency and developing renewable energies .|||2~2~ArtOrDet~the
These countries are unable to satisfy their energy needs with solely just based on the available avenues for energy sources currently .|||9~10~Prep~
We have already crossed the thresh hold of acceptable greenhouse gases emission levels .|||10~11~Nn~gas
Thus , preventing accelerated climate change beyond human control is of greatest priority .|||11~11~ArtOrDet~the
Moreover , the increasing emission of carbon dioxide from the burning of fossil fuel was proven to be one of the factors in causing climate change ( Jager ) .|||14~15~Vt~has been	22~23~Prep~
However , there remains doubt on the safety of nuclear reactors ' operation and hence , public might not fully accept the concept of nuclear reactor .|||5~6~Prep~of	16~16~ArtOrDet~the
In order to make the nuclear reactor safer , cleaner and cheaper , the Generation IV International Forum ( GIF ) was established in mid 2001 for further research on the III generation nuclear reactor .|||26~27~Prep~to	29~30~Prep~	34~35~Nn~reactors
In the late of 2002 GIF announced the six best reactor technologies which they believe that will become the futures nuclear reactors .|||5~5~ArtOrDet~the
The six technologies are very high Temperature Reactor ( VTHR ) , Super-Critical Water-Cooled ( SCWR ) , Molten Salt Reactor ( MSR ) , Gas-Cooled Fast Reactor ( GFR ) , Sodium-Cooled Fast Reactor ( SFR ) , and Lead- Cooled Fast Reactor ( LFR ) .|||4~6~ArtOrDet~the Very High	12~12~ArtOrDet~the	18~18~ArtOrDet~the	25~25~ArtOrDet~the	32~32~ArtOrDet~the	40~42~ArtOrDet~the Lead-Cooled
The below few paragraphs are explained why you should support further research and development on the super-critical water-cooled reactor ( SCRW ) in term of safety , security and performance .|||4~6~Vform~explain	23~24~Nn~terms
The working temperature is about 510-550K and pressure is 25MPa ( Butler , D ) .There is many people will feel shocking with the high operating temperature and pressure of this reactor .|||7~7~ArtOrDet~the	22~23~Prep~at
They will argue that pressure vessel wall can not withstand such a high pressure and the high working temperature will melt the core .|||4~4~ArtOrDet~the
They worry SCWR will replay the accidents in the Three Mile Island March 28 , 1979 and the Chernobyl on April 26 , 1986 ( " Nuclear Disasters and Accidents " ) .|||7~8~Prep~on
